text,telicity,punctual/durative
A man is riding a motorcycle in the yard.,Atelic,Durative
A monkey is sitting and eating a banana.,Atelic,Durative
A woman is sitting with a teddy bear in her lap.,Atelic,Durative
A man wearing black and grey is standing in the snow.,Atelic,Durative
a kite surfer with a wet suit is holding his board,Atelic,Durative
a person is walking with a surfboard on a beach,Atelic,Durative
A dog is sitting by a person on a porch.,Atelic,Durative
The police man is riding a green quad.,Atelic,Durative
a man with a suit and tie and a hat is holding a gun,Atelic,Durative
A tennis player is running with his racket,Atelic,Durative
The dog is standing between the seats of a car.,Atelic,Durative
A black cat is wearing a white bow tie and looking at the camera,Atelic,Durative
a black cat is sitting on a green bench,Atelic,Durative
The white cow is sitting next to a standing brown cow.,Atelic,Durative
The miniature train is running on tracks near an outdoor garden.,Atelic,Durative
a small kitten is sitting in a large shoe.,Atelic,Durative
a person in skies is standing in the snow,Atelic,Durative
Someone is holding an long hot dog in front of a box of stuffed animals.,Atelic,Durative
A man is holding a goat that he is inspecting.,Atelic,Durative
A small child is having her teeth brushed.,Atelic,Durative
The man is standing on the beach just after sunrise.,Atelic,Durative
A girl is laying in an adjustable bed.,Atelic,Durative
An elephant is walking on a trail through the woods.,Atelic,Durative
A man is doing tricks on a skateboard,Atelic,Durative
A hand is holding a sandwich on a long bun.,Atelic,Durative
A person is doing tricks on their skateboard.,Atelic,Durative
A woman is playing an instrument for some girls.,Atelic,Durative
The multi colored cat is sitting in the sink being watched by a woman.,Atelic,Durative
"In an odd juxtaposition of reality, an old piano is sitting on the corner of a busy street at night.",Atelic,Durative
A man is sitting on a love seat and petting his dog.,Atelic,Durative
A girl is having fun brushing her teeth.,Atelic,Durative
a small dog is sleeping on a sheet,Atelic,Durative
A dog is sitting on a couch in a motor home,Atelic,Durative
A Zebra is standing in the shallow water.,Atelic,Durative
A white mug is sitting on a counter,Atelic,Durative
A child is eating out of a cup with a spoon.,Atelic,Durative
A man is doing skateboard tricks outdoors near water.,Atelic,Durative
A cat is sitting on top of the computer desk.,Atelic,Durative
a woman is standing under a red sign,Atelic,Durative
The cat is looking inside of the open backpack.,Atelic,Durative
A small child in pajamas is holding the remote control.,Atelic,Durative
A person is riding on skis in the snow.,Atelic,Durative
A cat is laying on its back in a chair.,Atelic,Durative
A young child is sitting at a table with a cake in front of them.,Atelic,Durative
An owl is sitting in the tree branch,Atelic,Durative
A little boy is playing in the water at the beach.,Atelic,Durative
A blue and black bird is sitting at a bird feeder.,Atelic,Durative
A baby lamb is sitting in the grass next an adult sheep.,Atelic,Durative
The border collie is sitting on the bench.,Atelic,Durative
A person is riding a jet ski in the water.,Atelic,Durative
a dirt bike rider is riding a white motorcycle,Atelic,Durative
A surfer is riding a wave while another swims to catch the next one.,Atelic,Durative
A guy is eating a donut and drinking coffee.,Atelic,Durative
The dog is sitting in the back of the car.,Atelic,Durative
A woman is sitting on a couch with two dogs.,Atelic,Durative
A batter is taking his best swing during the baseball game.,Atelic,Punctual
An Asian kid is riding his skateboard and doing some tricks in the air.,Atelic,Durative
An older man in a suit is smiling,Atelic,Durative
a woman is sitting at a table using a phone,Atelic,Durative
A woman is getting ready to hit a ball with a tennis racket.,Atelic,Durative
a hand is holding some food and a drink is on the table,Atelic,Durative
a woman is standing in a room taking a picture of herslf,Atelic,Durative
A man in a suit and tie is posing for the camera.,Atelic,Durative
A cat is sitting on a motor scooter.,Atelic,Durative
A jockey is riding a horse in bright green grass.,Atelic,Durative
The furry grey cat is sitting next to a computer.,Atelic,Durative
The cat is sleeping underneath the clock.,Atelic,Durative
a green veggie is laying on a red plate,Atelic,Durative
A female surfer is riding through the wave.,Atelic,Durative
a man is watching a movie while exercising,Atelic,Durative
A girl is playing with a Frisbee outside by a house.,Atelic,Durative
A man is reading a book sitting in a chair next to a television.,Atelic,Durative
a woman wearing black and red is sitting on a motorcycle,Atelic,Durative
A brown bird is sitting on a wood post next to a plant.,Atelic,Durative
A person is doing tricks on a skateboard.,Atelic,Durative
A man is carrying a surfboard on a beach.,Atelic,Durative
A skateboarder is doing a trick on the street.,Atelic,Durative
The couple is sitting down on the bench before playing a game of tennis.,Atelic,Durative
A dog is looking out a large window.,Atelic,Durative
A young man is riding a pole on his skateboard.,Atelic,Durative
A elephant is wearing a yellow and red seat on top of it.,Atelic,Durative
A young man is sleeping in bed with a dog and remote control.,Atelic,Durative
The young man is getting ready to do tricks on his skateboard.,Atelic,Durative
A small child wearing pink is holding a bat to a hydrant.,Atelic,Durative
A person is sitting with many surf boards.,Atelic,Durative
A girl is taking her picture with an ipad in the bathroom.,Atelic,Durative
A cat is laying on a suitcase full of clothes.,Atelic,Durative
A man is sitting on a couch using a laptop.,Atelic,Durative
A woman playing tennis is getting ready to serve the ball.,Atelic,Durative
Camera in hand he is getting directions to the event.,Atelic,Durative
A girl wearing glasses is holding a cat.,Atelic,Durative
"A couple of bears sitting on a coach, one is holding a book.",Atelic,Durative
A man is walking on the beach with a surfboard on his head.,Atelic,Durative
A woman is holding unto a bear dressed like a British solder.,Atelic,Durative
A man is sitting on his black motorcycle.,Atelic,Durative
A man is laying on a bed looking at a cell phone.,Atelic,Durative
A man is riding a dirt bike on a muddy course.,Atelic,Durative
A man wearing a suit and tie is looking to the side.,Atelic,Durative
A trainer is holding a wand up to a giraffe.,Atelic,Durative
This man is eating a donut at an outdoor event.,Atelic,Durative
A small cat is sitting on top of a suite case.,Atelic,Durative
A small sign is standing next to a side walk.,Atelic,Durative
A woman is looking at sheep off in a field,Atelic,Durative
a young boy is playing baseball in a field,Atelic,Durative
A black and white dog is standing outside.,Atelic,Durative
A cat is sitting on a laptop's keyboard,Atelic,Durative
A fork is laying on a half eaten plate of food,Atelic,Durative
The woman is wearing a t-shirt of the same color as the softball team.,Atelic,Durative
A baseball player is getting ready to hit the ball as the catcher and umpire watch.,Atelic,Durative
Little girl is standing and eating something off of a spoon.,Atelic,Durative
A man in a hat holding a coffee is sitting on a bench with a woman wearing a hat.,Atelic,Durative
A variety of food is sitting on the table with a few drinks.,Atelic,Durative
A brown cow is looking into the doorway.,Atelic,Durative
a woman with a black and white top is standing on a surfboard in the water,Atelic,Durative
This man is standing by a lake looking at the water.,Atelic,Durative
A man is holding a tennis racket and is standing at a tennis court and across from him is a crowd of people watching.,Atelic,Durative
A woman holding an umbrella is standing near a sports car track.,Atelic,Durative
The Gibson Guitar bus is sitting in a parking lot.,Atelic,Durative
A man is doing tricks on his skateboard.,Atelic,Durative
A double decker bus is riding along a busy street.,Atelic,Durative
A bull is laying in the open street,Atelic,Durative
A woman is holding a white umbrella on a dark night.,Atelic,Durative
A Tennis player is getting ready to put service,Atelic,Durative
The man is smiling and wearing a suit.,Atelic,Durative
the surfer is riding the surfs with his surfboard,Atelic,Durative
a gray cat is walking on a glass table and theres a fire in the fireplace,Atelic,Durative
A dog is holding a frisbee in the river.,Atelic,Durative
A person's hand is holding onto a luggage handle at the airport.,Atelic,Durative
A tall giraffe is standing by some palm trees.,Atelic,Durative
That bird is sitting right in the middle of that table.,Atelic,Durative
A woman is sitting on bleachers with a blue ball.,Atelic,Durative
A large bird is standing in an open window.,Atelic,Durative
A skate boarder is doing tricks in the half pipe.,Atelic,Durative
A big elephant is walking along side the road.,Atelic,Durative
A refrigerator is standing next to a table in a kitchen.,Atelic,Durative
A little dog is running around an outside shopping stand.,Atelic,Durative
A guy is sitting on the side of the road at a fruit stand.,Atelic,Durative
a person is riding a motorcycle and a few parked cars,Atelic,Durative
Three canoes sitting on the edge of a water bank.,Atelic,Durative
The man is posing for a picture with his snowboard outside.,Atelic,Durative
a couple is riding on a blue motorcycle with a flag,Atelic,Durative
A person is riding a surfboard with a crowd watching.,Atelic,Durative
A red train is riding next to a lake in the afternoon.,Atelic,Durative
A cat is sitting on some jeans and a purse with a dog on the floor in the background.,Atelic,Durative
An older man is smiling while standing at a microphone.,Atelic,Durative
"One girls is holding a frisbee, another girl is trying to get it.",Atelic,Durative
A polar bear is sitting on a ice ledge.,Atelic,Durative
The bird is standing in the middle of the river.,Atelic,Durative
The man on the grass is playing with his soccer ball.,Atelic,Durative
A little boy is playing tee ball and is swinging the bat behind his back.,Atelic,Durative
A man is reading next to a pile of comic books.,Atelic,Durative
a woman is looking in the mirror,Atelic,Durative
A lonely bench is sitting near the green grass.,Atelic,Durative
A bicycle is sitting in an airplane passenger section.,Atelic,Durative
A man is taking a picture in a rear view mirror.,Atelic,Durative
A man is walking while using his cellphone.,Atelic,Durative
A man is walking through a tight market,Atelic,Durative
a bearded man is wearing a blue shirt and orange tie,Atelic,Durative
A person is sitting on the floor with several different objects.,Atelic,Durative
A family is standing outside a large duck model on a field.,Atelic,Durative
A young grizzly bear is walking in a creek.,Atelic,Durative
A black cat is sleeping on top of a toilet.,Atelic,Durative
A young lady making a silly face is playing the Wii.,Atelic,Durative
A smiling baby is laying in a suitcase.,Atelic,Durative
A young woman is sitting on a park bench alone.,Atelic,Durative
A man is posing excitedly on a surfboard.,Atelic,Durative
The young girl with the rainbow hat is sitting up in her bed.,Atelic,Durative
A man is sitting outside in the grass with a cow near a fence.,Atelic,Durative
A medium size dog is standing on mud outside.,Atelic,Durative
A white polar bear is laying in the snow.,Atelic,Durative
A woman is smiling while speaking and shaking hands with a man in a board room.,Atelic,Durative
The cat is riding on top of the backpack.,Atelic,Durative
A parasurfer is riding slightly above the water.,Atelic,Durative
A horse is standing in some hay outside.,Atelic,Durative
A man on a surfboard is riding a wave.,Atelic,Durative
A person is riding a motorcycle on dirt.,Atelic,Durative
The person on a bike is riding on the beach.,Atelic,Durative
An old television is sitting on a sandy beach.,Atelic,Durative
A man is looking happily at his cell phone.,Atelic,Durative
a white bird is standing on a beach,Atelic,Durative
A young boy is playing with a ball in his yard.,Atelic,Durative
An elephant is wearing ring of flowers on her head.,Atelic,Durative
A young baseball player is wearing full catchers gear.,Atelic,Durative
A baseball player is getting ready to hit a ball.,Atelic,Durative
A boy is eating pizza and salad with other children.,Atelic,Durative
A large orange cat is sitting in a flower pot stand.,Atelic,Durative
A woman is walking across the street with a yellow umbrella.,Atelic,Durative
A surfer is taking the downhill slide on green water.,Atelic,Durative
A dog is standing while wearing a hat and glasses.,Atelic,Durative
A man is reading a newspaper while waiting at a banana cart.,Atelic,Durative
An older woman is standing next to a horse.,Atelic,Durative
A woman is holding a stuffed bear and smiling.,Atelic,Durative
The skateboarder is riding on the half pipe.,Atelic,Durative
A girl with a white headband is holding a snowboard.,Atelic,Durative
A man is standing in a room holding a surfboard.,Atelic,Durative
A young baseball player is standing next to a young girl.,Atelic,Durative
The black and white cat is looking into the bowl of a toilet.,Atelic,Durative
A female is reading a book on her couch with her dog next to her.,Atelic,Durative
The cat is sitting patiently on the piano bench.,Atelic,Durative
A young man is looking into an open refrigerator.,Atelic,Durative
A person is riding a horse down the beach.,Atelic,Durative
Some is holding a bottle of wine next to a huge hot dog covered in chili.,Atelic,Durative
two people are eating a cupcake,Atelic,Durative
A man in a cowboy outfit on a horse is walking down the street while people watch.,Atelic,Durative
A man is standing in a living room.,Atelic,Durative
A young man is jumping in the air and flipping his skateboard.,Atelic,Punctual
A baby cattle is looking at the camera while others look on.,Atelic,Durative
The skier is wearing a blue jacket and hat.,Atelic,Durative
A boy is doing jumps on his skateboard at a skate park.,Atelic,Punctual
A couple is posing together on a tennis court.,Atelic,Durative
A dog is running with a toy in its mouth.,Atelic,Durative
A man stands smiling in front of his open refrigerator full of food.,Atelic,Durative
A pony is standing in the grass of a field.,Atelic,Durative
A small dog is standing on top of a computer desk.,Atelic,Durative
A man is riding the wave while surfboarding.,Atelic,Durative
The person is holding a donut inside of their mouth.,Atelic,Durative
A giraffe is standing in front of a trough.,Atelic,Durative
The woman holding an umbrella is walking towards a doorway.,Atelic,Durative
The man in the green shirt is posing with a tennis racket.,Atelic,Durative
A baseball player is sitting on the bench at a baseball game.,Atelic,Durative
a knife is laying next to a knife on a table,Atelic,Durative
A large tow truck is pulling a red double decker city bus.,Atelic,Durative
The girl is sitting on the couch with her laptop.,Atelic,Durative
A man is riding a dirt bike through the mud.,Atelic,Durative
A passenger plane is sitting on the runway.,Atelic,Durative
A dog is sitting in the window behind the laptop.,Atelic,Durative
Three hourses running along side a fence next to each other.,Atelic,Durative
A boy is jumping in the air and flipping a skateboard.,Atelic,Durative
The zebra is eating grass off the ground.,Atelic,Durative
A small mirror reflects a street sign with a bike on it.,Atelic,Punctual
Three wine glasses and a glass bowl are on the top of the refrigerator.,Atelic,Durative
The pizza was ordered.,Atelic,Punctual
A black cat eats from a white bowl on the tiled kitchen floor in front of the stainless steel oven.,Atelic,Durative
Oblong containers are filled with healthy foods on a table.,Atelic,Durative
A man rides a bicycle across the river.,Atelic,Durative
The man jumps high in the air to catch the Frisbee.,Atelic,Punctual
A dog walking and a man riding a motorized scooter on sand.,Atelic,Durative
The small boy sits next to a giant stuffed bear.,Atelic,Durative
A little toddler with an umbrella is on the street.,Atelic,Durative
The railroad signs are clearly visible for all of us to see.,Atelic,Durative
A dish of broccoli sits on a a printed paper on a white plate.,Atelic,Durative
A man poses for the cameras while other pedestrians roam and mingle.,Atelic,Durative
a street sign and pole sits under neath of a bridge,Atelic,Durative
"Behind a boy on a skateboard, a boy pops a wheelie with his bicycle.",Atelic,Punctual
There are several empty glasses of wine on the table.,Atelic,Durative
"A herd at of zebras are grazing in the field
",Atelic,Durative
A large display case has advertisements and posters in it.,Atelic,Durative
this is some girls playing a video game,Atelic,Durative
A pitcher throws the ball towards the batter at a game.,Atelic,Durative
a couple of men in suits ride on a train car,Atelic,Durative
There are three teddy bears and a frog stuff toys.,Atelic,Durative
A GIRL HAS A BEE OUT FIT ON,Atelic,Durative
>> A surfer rides a wave on his surfboard.,Atelic,Durative
a woman holds on to and uses a cell phone,Atelic,Durative
A clock mounted on a gray stone tower.,Atelic,Punctual
some baseball players are playing baseball and some fans,Atelic,Durative
Children gather for a birthday party with a Hello Kitty cake and prepare to blow the candles out,Atelic,Durative
A kitchen that still has construction tape on the cabinets,Atelic,Durative
Kids are in a classroom with laptops on their desk.,Atelic,Durative
A bird sits on the edge of the water.,Atelic,Durative
Trucks fill up at a truck gas station.,Atelic,Durative
A group of people dressed professionally outside.,Atelic,Durative
Two people are flying a kite on a beach.,Atelic,Durative
Some people sit together for a meal.,Atelic,Durative
Several people walking toward the beach to go surfing.,Atelic,Durative
People watch as a man plays a boxing video game in a building,Atelic,Durative
A man pulls a suitcase next to a train.,Atelic,Durative
A TV mounted above a fireplace in a nicely furnished living room.,Atelic,Punctual
Assorted items sit on a desk next to a laptop computer.,Atelic,Durative
A snowboarder smiles and glides down hill.,Atelic,Durative
A family raise their glasses in a toast while sitting around a dining room table.,Atelic,Punctual
Two men sit smiling with a baby outside.,Atelic,Durative
A woman sits on a bed with pillows.,Atelic,Durative
Three women and one man wear various skis on their feet while wearing swimming clothes.,Atelic,Durative
The street sign is clearly visible for all to see.,Atelic,Durative
A brown bear stands in some grass alongside a road.,Atelic,Durative
A man stands in front of the video camera,Atelic,Durative
a sub sandwich cut in half next to a salad,Atelic,Punctual
Cop motorcycles lined up parked next to each other with the helmets on them,Atelic,Punctual
A shaggy terrier puts one paw on the glass as he looks out the window of car.,Atelic,Punctual
Two zebras are grazing on the green grass.,Atelic,Durative
A group of people standing on top of a snow covered ski slope.,Atelic,Durative
a first person view of A man with his feet up is watching a tv.,Atelic,Durative
Skateboarder performing tricks on cement with audience in daylight,Atelic,Durative
Playing on a small laptop and a phone at the same time is not recommended,Atelic,Durative
the red suitcase is very noticeable in a crowd.,Stative,
Three wine glasses and a glass bowl are on the top of the refrigerator.,Stative,
a street sign and pole sits under neath of a bridge,telic,Durative
"Behind a boy on a skateboard, a boy pops a wheelie with his bicycle.",telic,Punctual
There are several empty glasses of wine on the table.,telic,Durative
"A herd at of zebras are grazing in the field
",telic,Durative
A large display case has advertisements and posters in it.,telic,Durative
this is some girls playing a video game,telic,Durative
A fire hydrant is built into a wooden deck.,telic,Punctual
A pitcher throws the ball towards the batter at a game.,telic,Punctual
a couple of men in suits ride on a train car,telic,Durative
There are three teddy bears and a frog stuff toys.,telic,Durative
A GIRL HAS A BEE OUT FIT ON,telic,Durative
 A surfer rides a wave on his surfboard.,telic,Durative
a woman holds on to and uses a cell phone,telic,Durative
A clock mounted on a gray stone tower.,telic,Punctual
some baseball players are playing baseball and some fans,telic,Durative
Children gather for a birthday party with a Hello Kitty cake and prepare to blow the candles out,telic,Durative
A kitchen tht still has construction tape on the cabinets,telic,Durative
Kids are in a classroom with laptops on their desk.,telic,Durative
A bird sits on the edge of the water.,telic,Durative
Trucks fill up at a truck gas station.,telic,Durative
A group of people dressed professionally outside.,telic,Durative
Two people are flying a kite on a beach.,telic,Durative
Some people sit together for a meal.,telic,Durative
Several people walking toward the beach to go surfing.,telic,Durative
"On a table are two action figures, a coffee cup and two donuts.",telic,Durative
People are sitting on a park bench near a kid standing.,telic,Durative
People watch as a man plays a boxing video game in a building,telic,Durative
A woman is happy to be petting her german shepard.,stative,
"Two infants, one standing and one sitting, are in a bathroom.",stative,
A person in a wetsuit is in midair while surfing.,stative,
A young girl wearing a hat and blue jeans is on a swing.,stative,
"A large crowd of people are outside and a big sign reads ""AIDS WALK"" in the background among trees.",stative,
"Some of the ten children have juice boxes, one has a volleyball.",stative,
Two people in rain gear are leaf blowing in the grass during a raining day.,stative,
A pitcher is about to throw a baseball.,stative,
A person with a helmet on is airborne and upside down on a mechanized device for traveling on water,stative,
"Two men are in blue life jackets and sitting on innertubes with ""Crusher"" written on them in the middle of a body of water.",stative,
"A dilapidated, gritty building with yellow wall, green shutter-doors, and red concrete platform is host to a sleeping woman in a white dress facing away from us.",stative,
"A woman in black clothes is in a kitchen, grating cheese.",stative,
One man has another man trapped in a straight armbar hold on a gym floor.,stative,
A man with a bike helmet and two young boys have just their heads peeking up from a pile of leaves.,stative,
A group of men are on scaffolds painting a wall.,stative,
This is a group of people participating in a race,stative,
This is an aerial shot of people sitting outside in chairs on a patio and drinking.,stative,
A man is on a wire besides an electrical tower.,stative,
A man is on a scaffold working on the outside of a building.,stative,
Two young men are at a party.,stative,
A person is in the air on a bike near a body of water.,stative,
The animal is near the pond.,stative,
A few Asian people are in a house together in front of a cabinet filled with glasses.,stative,
A girl has the ball in a game of basketball,stative,
"Three men with matching shirts, pants and hats and a man in robe are in a room.",stative,
Two kids are out in a small boat in the ocean with a larger boat in the background.,stative,
"A group of men, and two boys, are at a livestock market looking at sheep.",stative,
A man in a green ha is tired from shopping so he sleeps in the train.,stative,
A man wearing a navy blue shirt is inside a room talking while standing next to many books.,stative,
A little girl in a harness is in midair on a sunny day.,stative,
"A group of people are outside, roasting marshmallows in a fire.",stative,
A girl in pink is on the shoulders of a mustached man.,stative,
A young girl in a colorful skirt is in the midst of falling onto a bed.,stative,
Six boys and two men are beside a large tree.,stative,
An antique car that is yellow is shown lined up with other cars.,stative,
A woman is on a public bus riding through a town.,stative,
A man is busy doing something with the wood.,stative,
A judge for a dog show is in a suit and examining one of the dogs.,stative,
Many people are outside watching ice skaters.,stative,
"The street lamp is the focal point, but there is a person bent down directly behind the lamp.",stative,
The two couples are in a kitchen.,stative,
A man is a suit with several bags stands on the street while two people in foreground point and look at something out of the photo's range.,stative,
"A young woman in a brown shirt is in a kitchen, rubbing a piece of paper on a cookie sheet.",stative,
A child is either screwing or unscrewing a screw on a machine.,stative,
A young girl with pink dice in her brown hair has a sad look on her face.,stative,
An Asian tennis player is about to hit the ball.,stative,
The nighttime by the river canal is busy.,stative,
"On a shadowy cobblestone street, two men have a conversation.",stative,
Groups of people are in a urban park or walking towards the main area.,stative,
A black and white dog with a stick is in muddy water.,stative,
A person wearing a pink hat and pink swimwear bottoms is face-down on a smooth brown beach.,stative,
A man is crosscountry skiing.,stative,
Variety is the spice of life no matter what the culture may be.,stative,
Guy with his shirt off has part of his Calvin Klein underwear showing and he is walking next to guy in white shirt and black skirt and black leggings.,stative,
Two woman are mud wrestling in a kiddie pool.,stative,
A woman wearing a headscarf is near many tulips.,stative,
People are busy taking pictures.,stative,
Three people are in a sailboat on the water.,stative,
"A man in a blue and red suit is upside-down in the air as his partner, also in a blue and red suit, and a large crowd of people watch him.",stative,
My first night at the comedy club was scary.,stative,
The woman is in a pool and being splashed,stative,
"A baseball player in a green jersey is in the middle of a play, with the official standing in the frame.",stative,
A black dog is in a dog race.,stative,
"Kids doing a soccer drill in the soccer field, they are all dress in soccer uniforms except for one boy which is wearing casual clothing.",stative,
An Asian teenager in a red jacket has his thumb up and his tongue sticking out.,stative,
A girl with blond-hair is outside putting on a bicycle helmet.,stative,
A girl is outside tanning by a pool reading her cellphone.,stative,
"A brown dog, a black and white dog, and a black dog are all standing in a field.",stative,
The man in the blue hat riding the bike is in the lead.,stative,
A group of people are outside working.,stative,
This is a massive outside restaurant where lots of people come to gather for the night.,stative,
Two boots are on two skis moving very fast.,stative,
A boy in camouflage shorts and an orange shirt has his hat on backwards.,stative,
Two women are in a kitchen and one of them is holding a little girl.,stative,
"A girl has a falcon resting on her hand, and a man with a microphone is talking to her while looking at the bird.",stative,
Five children are on a soccer court headed towards the goal.,stative,
A woman that is in the grass jumping in a black dress.,stative,
A heavily tattooed man with a soldier mask is about to hit another man in the face with his elbow during a wrestling match.,stative,
A person wearing red shorts and white tank top is about to hit a volleyball.,stative,
A jet plane is on display outside of the cathedral.,stative,
"The gutarist upfront is under a spotlight, and the drummer in the back is under one too.",stative,
A mountainous photo is complete with a blue sky.,stative,
The kid at the playground has a red sweater on.,stative,
"A woman with long brown hair wearing a white sleeveless shirt, a man with long brown hair wearing a green t-shirt and tattoos on his arms, and another woman with black hair wearing a green dress, also with tattoos, are in the checkout line at a supermarket.",stative,
Two children and an adult are near the fountain.,stative,
The man in a blue sweatshirt is in a kitchen.,stative,
A man is about to help his friend get hammered.,stative,
The woman in the orange shirt has her hand raised.,stative,
The girl is by the display.,stative,
Two rodeo clowns are on the dirt.,stative,
One man playing a red guitar and singing into a microphone has a larger man playing the drums behind him.,stative,
"A woman wearing a T-shirt, shorts, and sandals, is miniature golfing in front of flowers and a walkway.",stative,
Three white dogs are near a black llama.,stative,
A male in a red shirt has two dead skinned animals on a table with a saw nearby and a knife in his hand.,stative,
A teenage girl with librarian glasses and a lip piercing is on her pink iPhone while sitting on a couch.,stative,
Two people are on bikes are next to a white building.,stative,
Three people are on a boat in the middle of the water while the sun is in the back.,stative,
A man is on his phone while sitting on a chair along a rocky beach.,stative,
