text,telicity,punctual/duritive,
The man with the tie is playing his guitar.,atelic,duritive,
Men with reflective safety jackets on are working on a street intersection with many orange reflective cones.,atelic,duritive,
A climber is standing on rocks overlooking a snowy mountain range.,atelic,duritive,
My first night at the comedy club was scary.,stative,,
The people are horseback riding.,stative,,
A woman with short red-hair is in some very cloudy water by a shoreline and only her head is above the water.,stative,,
Two policeman and are on motorcycles.,stative,,
A young boy with track on his shirt is smiling at a young boy with a batman logo on his shirt.,atelic,duritive,
A group of people are outside working.,stative,,
A man in a forest setting looks through a hollow piece of wood.,atelic,duritive,
"Outside a building, a uniformed security guard looks at the camera from behind a fence.",atelic,duritive,
A man is on a ladder leaned up against a building.,stative,,
"A man in a blue and red suit is upside-down in the air as his partner, also in a blue and red suit, and a large crowd of people watch him.",stative,,
A black shirtless man holds a knife while standing next to a brick wall.,atelic,duritive,
The small brown dog is amidst the potted plants and fallen leaves.,stative,,
A man wearing a flashlight on his head has his hand in a rolling case with wires.,stative,,
A group of men and women are dancing at a house party.,atelic,duritive,
Snowy mountains are in the background of three ocean kayakers.,stative,,
A young boy in overalls is sleeping while holding a brown stuffed animal.,atelic,duritive,
There is a snow skier on a slalom course taking a turn.,stative,,
People are busy taking pictures.,stative,,
A person riding in the back of one vehicle is looking down the road towards a yellow truck.,atelic,duritive,
A terrier catches a ball in a field.,telic,duritive,
A man has fallen over on the street at night,stative,,
"A baseball player in a green jersey is in the middle of a play, with the official standing in the frame.",stative,,
A woman jogs on the beach while carrying a water bottle.,atelic,duritive,
A person in a wetsuit surfs a big wave.,atelic,duritive,
A boy is skim boarding in a backyard pool while two other men watch.,stative,,
A skier goes down a hill with a mountain as a backdrop.,atelic,duritive,
Four young adults with two microphones make silly faces at the camera.,telic,duritive,
"Three boys, one in red, two in blue, play soccer.",atelic,duritive,
"Racing car marked TEAM PENSKE is on a track, with banners and spectators in the background.",stative,,
An older bald man runs near a young black-haired boy at a race.,atelic,duritive,
A dog is at the top of a blue slide and a little boy is behind him.,stative,,
Two men ride a bicycle down the street.,atelic,duritive,
The woman in the orange shirt has her hand raised.,stative,,
A crowd of people are in front of a tent that is closed.,stative,,
A house is under construction.,stative,,
A boy wearing a hat and sitting on a wall looks over at a group of people standing by the riverside.,atelic,duritive,
A man on the coaching staff for OU has sunglasses on his head during a football game.,stative,,
A man is outside playing a guitar.,stative,,
A little boy is playing with a blue wheel on a swing set.,atelic,duritive,
"There is a lady ready for the rainy weather with rain boots, coat and an umbrella.",stative,,
A black dog and a white dog are outside playing with a pull toy.,stative,,
An electrician is observed from a birds eye view working on a transformer box.,stative,,
Two young men are playing an interactive video game that simulates playing a guitar.,atelic,duritive,
A man dives into a swimming pool at the hotel.,stative,,
"A young boy dressed in a blue helmet, sweater, jeans and sneakers looks like he is going to go zip lining.",stative,,
A black dog approaches the camera with his hind legs raised and his ears forward.,telic,duritive,
"Village people are watching a woman who seems to be checking her messages, possibly on her cellphone.",atelic,duritive,
Two men are looking through the solar telescopes.,stative,,
A man is standing next to a sign and his holding papers while sticking his pinky out.,atelic,duritive,
"As many gather on the beach to watch the air show, the planes make a heart in the sky.",stative,,
A boy rides down a slide into a small backyard pool.,atelic,duritive,
A man carrying a white sweatshirt waits to cross the street.,atelic,duritive,
"A boy dressed in khaki shorts and a red shirt runs on a beach with green, white and blue structures and a half moon behind him.",atelic,duritive,
Two men in camouflage pants are running past a parking lot.,atelic,duritive,
An elderly man looks down and smiles.,atelic,duritive,
A baby in green clothes is sleeping.,atelic,duritive,
A man in a yellow tank top with a friend in white shirt checks the grill.,atelic,duritive,
A man wearing a blue t-shirt and a white baseball hat is playing with a young blond girl.,atelic,duritive,
Two children are sitting on a stool on the front outside of a white door.,atelic,duritive,
A man in blue plays soccer.,atelic,duritive,
A blond child is playing with a metal yard ornament.,atelic,duritive,
Three boys are searching for their books in a library.,atelic,duritive,
A girl in a pink shirt is climbing onto a wooden chair.,atelic,duritive,
A man in a black shirt looks at the camera,atelic,duritive,
A man and women are kissing.,atelic,duritive,
A female in black leather jacket pets a small dog with a muzzle holding on to her leg.,atelic,duritive,
